ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
1881-01-01,-0.19708787004245534,-0.36599475064484116,-0.03736537647649965,-0.19708787004245534,-0.19708787004245534,-0.014021038001553441,-0.014021038001553441,-0.014021038001553441,-0.014021038001553441,-0.014021038001553441,-0.014021038001553441,0.0,0.0,0.0,-0.21110890804400878,-0.16
1881-02-01,-0.19730459085795193,-0.36663477231788993,-0.017456844224321772,-0.19730459085795193,-0.19730459085795193,0.007851090635163446,0.007851090635163446,0.007851090635163446,0.007851090635163446,0.007851090635163446,0.007851090635163446,0.0,0.0,0.0,-0.18945350022278848,-0.17
1881-03-01,-0.19750033869130368,-0.381010373008397,-0.033855253816269866,-0.19750033869130368,-0.19750033869130368,-0.0075693849500929255,-0.0075693849500929255,-0.0075693849500929255,-0.0075693849500929255,-0.0075693849500929255,-0.0075693849500929255,0.0,0.0,0.0,-0.2050697236413966,-0.08
1881-04-01,-0.19771705950680024,-0.38424788557040257,-0.04868507583367149,-0.19771705950680024,-0.19771705950680024,-0.01887183527707807,-0.01887183527707807,-0.01887183527707807,-0.01887183527707807,-0.01887183527707807,-0.01887183527707807,0.0,0.0,0.0,-0.2165888947838783,-0.02
1881-05-01,-0.19792678932824853,-0.35603526671927826,-0.011233808631379403,-0.19792678932824853,-0.19792678932824853,0.008253454829682923,0.008253454829682923,0.008253454829682923,0.008253454829682923,0.008253454829682923,0.008253454829682923,0.0,0.0,0.0,-0.1896733344985656,0.1
1881-06-01,-0.19814351014374512,-0.3546210199845658,-0.019609795318440537,-0.19814351014374512,-0.19814351014374512,0.008483735477468541,0.008483735477468541,0.008483735477468541,0.008483735477468541,0.008483735477468541,0.008483735477468541,0.0,0.0,0.0,-0.1896597746662766,-0.19
1881-07-01,-0.19835323996519344,-0.3658700162477806,-0.027794909371223912,-0.19835323996519344,-0.19835323996519344,0.018077477211969003,0.018077477211969003,0.018077477211969003,0.018077477211969003,0.018077477211969003,0.018077477211969003,0.0,0.0,0.0,-0.18027576275322443,-0.09
1881-08-01,-0.19856996078069,-0.3388831029673536,-0.0003119269071710052,-0.19856996078069,-0.19856996078069,0.02543309761939475,0.02543309761939475,0.02543309761939475,0.02543309761939475,0.02543309761939475,0.02543309761939475,0.0,0.0,0.0,-0.17313686316129526,-0.05
1881-09-01,-0.19878668159618657,-0.3345957901457422,-0.017128698244429735,-0.19878668159618657,-0.19878668159618657,0.022481287377498264,0.022481287377498264,0.022481287377498264,0.022481287377498264,0.022481287377498264,0.022481287377498264,0.0,0.0,0.0,-0.1763053942186883,-0.17
1881-10-01,-0.19899641141763486,-0.38701541178497567,-0.043143844605756376,-0.19899641141763486,-0.19899641141763486,-0.007466154345864773,-0.007466154345864773,-0.007466154345864773,-0.007466154345864773,-0.007466154345864773,-0.007466154345864773,0.0,0.0,0.0,-0.20646256576349964,-0.25
